# Process data:
# project_name                  :
# specimen                      :
# experiment_number             : cycles_580928_max_load_num_246_idx_22_7
# gom_project_file              :
# project_creation_time         : 09.02.2024 13:56
# sensor_name                   : ARAMIS 12M (FG)
# camera_type                   : 12MP
# camera_focal_length           : None
# measuring_distance            : 1156.0
# camera_angle                  : 0.4356962247514014
# camera_angle_degrees          : 24.963554828038653
####################################################################################################
# Calibration data:
# calibration_date              : Thu Nov  3 14:04:22 2022
# calibration_object            : CC 20 / MV 500x400mm� (ID: 10566)
# calibration_volume_width      : 404.29033737186245
# calibration_volume_length     : 524.9262669669203
# calibration_volume_depth      : 404.2903373718624
# calibration_deviation         : None
####################################################################################################
# stage data:
# facet_size                    : 50.0
# facet_distance                : 30.0
# exposure_time                 : None
# current_stage_index           : 1
# current_stage_name            : cycles_580928_max_load_num_246_idx_22_7
# current_stage_date            : 07.02.2024 09:44
# current_stage_relative_date   : 1.0
# reference_stage_index         : 0
# reference_stage_name          : ref_246
# reference_stage_date          : 07.02.2024 09:44
####################################################################################################
# rigid body motion compensation:
# alignment_rotation_x          : -0.0
# alignment_rotation_y          : -0.0
# alignment_rotation_z          : -0.00012878829329974892
# alignment_translation_x       : -0.10979584632647382
# alignment_translation_y       : 0.08215553604609249
# alignment_translation_z       : 0.0
# alignment_deviation           : 0.017433704808354378
####################################################################################################
# SIGNALS:
# Width                         : inspection_value_element: 5328
# Height                        : inspection_value_element: 3040
# MICROSCOPE_device_type        : inspection_value_element: Zeiss STEMI 206C
# MICROSCOPE_magnification      : inspection_value_element: 0.65x
# TIMESTAMP                     : inspection_value_element: 2024-01-29 19:45:31.414796
# experimental_data_stage       : inspection_value_element: 333
# experimental_data_step_number : inspection_value_element: 3
# experimental_data_min_or_max  : inspection_value_element: MAX_LOAD
# experimental_data_cycles      : inspection_value_element: 580928
# experimental_data_load_main_axis_fy: inspection_value_element: 31.525365829467773
# experimental_data_load_side_axis_fx: inspection_value_element: -0.020781250670552254
# experimental_data_position_main_axis_dx: inspection_value_element: -96.28990173339844
# experimental_data_position_side_axis_dy: inspection_value_element: -94.97409057617188
# experimental_data_crack_tip_x_right: inspection_value_element: 63.5855520768405
# experimental_data_crack_tip_y_right: inspection_value_element: -11.9975924564669
# experimental_data_crack_tip_angle_right: inspection_value_element: not_calculated
# experimental_data_crack_tip_x_left: inspection_value_element: -61.59407739944881
# experimental_data_crack_tip_y_left: inspection_value_element: 8.542642796109888
# experimental_data_indx_x      : inspection_value_element: 22
# experimental_data_indx_y      : inspection_value_element: 7
# experimental_data_set_x       : inspection_value_element: 67.099999999999994
# experimental_data_set_y       : inspection_value_element: -12.42
# experimental_data_set_z       : inspection_value_element: 2.9700000000000002
# experimental_data_x_real      : inspection_value_element: 67.030000000000001
# experimental_data_y_real      : inspection_value_element: -12.35
# experimental_data_z_real      : inspection_value_element: 2.8900000000000001
#
#
####################################################################################################
#        ID;         x_undef [mm];         y_undef [mm];         z_undef [mm];               u [mm];               v [mm];               w [mm];             epsx [%];             epsy [%];            epsxy [1];           epseqv [%]
        17;        58.5987240051;        -4.3796042436;         0.0000000000;   -0.001837065909058;    0.035578619688749;    0.000000000000000;    0.130031198263168;    0.060529537498951;    0.000220062982407;    0.196467965841293
        18;        58.7617545535;        -4.3796397405;         0.0000000000;   -0.001773941912688;    0.035635121166706;    0.000000000000000;    0.142124935984612;    0.415108025074005;   -0.000899587059394;    0.588908970355988
        19;        58.9246990960;        -4.3792209346;         0.0000000000;   -0.001624812022783;    0.035237319767475;    0.000000000000000;    0.122790336608887;    0.311503291130066;   -0.001473079086281;    0.479229420423508
        20;        59.0873732189;        -4.3786983309;         0.0000000000;   -0.001205262611620;    0.034735720604658;    0.000000000000000;    0.119699493050575;    0.096634365618229;   -0.000687982945237;    0.230924040079117
        21;        59.2503759225;        -4.3780391059;         0.0000000000;   -0.001114293816499;    0.034097500145435;    0.000000000000000;    0.059390749782324;   -0.032321311533451;   -0.000833208963741;    0.113133430480957
        22;        59.4134700685;        -4.3777832813;         0.0000000000;   -0.001114767394029;    0.033862680196762;    0.000000000000000;    0.154098585247993;    0.111544579267502;   -0.001162539818324;    0.298728674650192
        23;        59.5760922324;        -4.3773560115;         0.0000000000;   -0.000643258972559;    0.033456414937973;    0.000000000000000;    0.175360336899757;    0.027663210406899;   -0.000219676789129;    0.221721380949020
        24;        59.7388940664;        -4.3770249809;         0.0000000000;   -0.000351420516381;    0.033146388828754;    0.000000000000000;    0.163254007697105;    0.067856155335903;   -0.000041920593503;    0.237747222185135
        25;        59.9018180447;        -4.3766789149;         0.0000000000;   -0.000181726427400;    0.032821327447891;    0.000000000000000;    0.095447368919849;    0.076348572969437;   -0.000033026779420;    0.172264620661736
        26;        60.0646578691;        -4.3762012531;         0.0000000000;    0.000072121569247;    0.032364670187235;    0.000000000000000;    0.136062428355217;    0.051597781479359;   -0.000485895638121;    0.201905041933060
        27;        60.2276564881;        -4.3755593284;         0.0000000000;    0.000167174875969;    0.031743749976158;    0.000000000000000;    0.044566109776497;   -0.033338136970997;   -0.000432296510553;    0.068137489259243
        28;        60.3907992755;        -4.3754106730;         0.0000000000;    0.000118059921078;    0.031616099178791;    0.000000000000000;    0.113173462450504;    0.174974381923676;   -0.001113749225624;    0.317669242620468
        29;        60.5534710994;        -4.3749716890;         0.0000000000;    0.000539908360224;    0.031198119744658;    0.000000000000000;    0.224481955170631;    0.204084768891335;   -0.001036461326294;    0.445494115352631
        30;        60.7162966028;        -4.3744477535;         0.0000000000;    0.000808077398688;    0.030695188790560;    0.000000000000000;    0.065774813294411;    0.110604576766491;   -0.000304432614939;    0.181767627596855
        31;        60.8792990480;        -4.3742628194;         0.0000000000;    0.000899304577615;    0.030531259253621;    0.000000000000000;   -0.002715581329539;    0.175152674317360;    0.000481118069729;    0.208260610699654
        32;        61.0423928904;        -4.3738860534;         0.0000000000;    0.000899134553038;    0.030175497755408;    0.000000000000000;    0.128661081194878;    0.100693233311176;   -0.000226929842029;    0.231536060571671
        33;        61.2052703560;        -4.3736058263;         0.0000000000;    0.001115341321565;    0.029916275292635;    0.000000000000000;    0.159376516938210;    0.243112936615944;   -0.001326465862803;    0.433616667985916
        34;        61.3681564092;        -4.3730981089;         0.0000000000;    0.001322960481048;    0.029429562389851;    0.000000000000000;    0.155221834778786;    0.202583044767380;   -0.001289866515435;    0.388725847005844
        35;        61.5309437821;        -4.3727467232;         0.0000000000;    0.001629260019399;    0.029099181294441;    0.000000000000000;    0.119501456618309;    0.204818069934845;   -0.001072105253115;    0.350786924362183
        36;        61.6939410990;        -4.3723534448;         0.0000000000;    0.001725615467876;    0.028726907446980;    0.000000000000000;    0.050383966416121;    0.242156639695168;   -0.001116455532610;    0.338392347097397
        37;        61.8568360677;        -4.3718074500;         0.0000000000;    0.001924319192767;    0.028201917186379;    0.000000000000000;    0.070637129247189;    0.137854427099228;   -0.000658784236293;    0.225371807813644
        38;        62.0199639552;        -4.3713536896;         0.0000000000;    0.001890104031190;    0.027769161388278;    0.000000000000000;    0.053337909281254;    0.125720530748367;   -0.000972754089162;    0.215480938553810
        39;        62.1828430376;        -4.3711947711;         0.0000000000;    0.002104694023728;    0.027631247416139;    0.000000000000000;    0.077513925731182;    0.347656071186066;   -0.000356709933840;    0.455050766468048
        40;        62.3458121305;        -4.3707586146;         0.0000000000;    0.002229273552075;    0.027216095477343;    0.000000000000000;    0.122034743428230;    0.210915654897690;   -0.000269741576631;    0.338573694229126
        41;        62.5086386052;        -4.3702738207;         0.0000000000;    0.002496471162885;    0.026752306148410;    0.000000000000000;    0.101474858820438;    0.175165742635727;   -0.000927674642298;    0.299809902906418
        42;        62.6716945849;        -4.3697391154;         0.0000000000;    0.002534163882956;    0.026238605380058;    0.000000000000000;    0.100184023380280;    0.225981190800667;   -0.000987787498161;    0.353250592947006
        43;        62.8346077961;        -4.3694254223;         0.0000000000;    0.002714625094086;    0.025945916771889;    0.000000000000000;    0.048981476575136;    0.209499105811119;   -0.000615808705334;    0.283744275569916
        44;        62.9976754210;        -4.3689664595;         0.0000000000;    0.002740672556683;    0.025507958605886;    0.000000000000000;    0.082740224897861;    0.076459743082523;   -0.000988506013528;    0.195932358503342
        45;        63.1605787762;        -4.3687296880;         0.0000000000;    0.002930989721790;    0.025292191654444;    0.000000000000000;    0.086564265191555;    0.196504741907120;   -0.001052964944392;    0.314650326967239
        46;        63.3235300398;        -4.3681498042;         0.0000000000;    0.003073398489505;    0.024733312427998;    0.000000000000000;    0.080443270504475;    0.147592201828957;   -0.001049754209816;    0.261194854974747
        47;        63.4865086753;        -4.3679025442;         0.0000000000;    0.003188435453922;    0.024507056921721;    0.000000000000000;    0.122405432164669;    0.316216081380844;   -0.000971727829892;    0.466708570718765
        48;        63.6493479543;        -4.3674865434;         0.0000000000;    0.003442828776315;    0.024112060666084;    0.000000000000000;    0.137983247637749;    0.295777857303619;   -0.001151288161054;    0.463057667016983
        49;        63.8122817694;        -4.3669797256;         0.0000000000;    0.003602686105296;    0.023626247420907;    0.000000000000000;    0.068471409380436;    0.212010264396667;   -0.001320671057329;    0.329894900321960
        50;        63.9753355842;        -4.3665744927;         0.0000000000;    0.003642543684691;    0.023242019116879;    0.000000000000000;   -0.050299283117056;    0.115698784589767;   -0.000477953959489;    0.128483071923256
        51;        64.1384790192;        -4.3662843639;         0.0000000000;    0.003592781024054;    0.022972894832492;    0.000000000000000;    0.019263649359345;    0.145541250705719;   -0.000545936403796;    0.190942108631134
        52;        64.3014514399;        -4.3660337622;         0.0000000000;    0.003714032704011;    0.022743297740817;    0.000000000000000;    0.078438885509968;    0.268345624208450;   -0.000303334876662;    0.365612238645554
        53;        64.4643964539;        -4.3655663263;         0.0000000000;    0.003862691111863;    0.022296866402030;    0.000000000000000;    0.066252224147320;    0.160323947668076;   -0.000359785510227;    0.236770913004875
        54;        64.6274368570;        -4.3651720887;         0.0000000000;    0.003915960434824;    0.021923633292317;    0.000000000000000;    0.084049947559834;    0.169797495007515;   -0.000883398344740;    0.278111755847931
        55;        64.7904714379;        -4.3649040117;         0.0000000000;    0.003975051920861;    0.021676560863853;    0.000000000000000;   -0.017094003036618;    0.271170318126678;   -0.000822627742309;    0.318250566720963
        56;        64.9535911845;        -4.3645205122;         0.0000000000;    0.003948977682739;    0.021314065903425;    0.000000000000000;    0.088102191686630;    0.225313574075699;   -0.000914808886591;    0.340244412422180
        57;        65.1164186691;        -4.3643565664;         0.0000000000;    0.004215165507048;    0.021171124652028;    0.000000000000000;    0.062872335314751;    0.332997828722000;   -0.000356632343028;    0.427720755338669
        58;        65.2794656999;        -4.3639350596;         0.0000000000;    0.004261807072908;    0.020770622417331;    0.000000000000000;    0.057010587304831;    0.269057273864746;   -0.000679389049765;    0.357171952724457
        59;        65.4424037054;        -4.3634351745;         0.0000000000;    0.004417473915964;    0.020291741937399;    0.000000000000000;    0.035710401833057;    0.172282800078392;   -0.000015506304408;    0.222518444061279
        60;        65.6054869037;        -4.3633174130;         0.0000000000;    0.004427948035300;    0.020194984972477;    0.000000000000000;    0.080355994403362;    0.345382988452911;   -0.000294830533676;    0.453995883464813
        61;        65.7684314075;        -4.3628781142;         0.0000000000;    0.004577116575092;    0.019776690751314;    0.000000000000000;    0.055280499160290;    0.303515762090683;   -0.000627743022051;    0.393286496400833
        62;        65.9315687100;        -4.3627016440;         0.0000000000;    0.004533486440778;    0.019621225073934;    0.000000000000000;   -0.020048700273037;    0.391593426465988;   -0.000476302375318;    0.444547116756439
        63;        66.0946184496;        -4.3624227078;         0.0000000000;    0.004577419254929;    0.019363293424249;    0.000000000000000;    0.070656567811966;    0.349824309349060;   -0.000546899333131;    0.454998761415482
        64;        66.2574797384;        -4.3620702567;         0.0000000000;    0.004809802863747;    0.019031846895814;    0.000000000000000;    0.130748823285103;    0.313222795724869;   -0.000487895857077;    0.460173487663269
        65;        66.4204622900;        -4.3617420386;         0.0000000000;    0.004920923616737;    0.018724633380771;    0.000000000000000;    0.022051611915231;    0.287923753261566;   -0.000614243443124;    0.353196382522583
        66;        66.5835495684;        -4.3612939724;         0.0000000000;    0.004927317611873;    0.018297571688890;    0.000000000000000;    0.026176644489169;    0.177397549152374;   -0.000759525981266;    0.238268449902534
        67;        66.7465339697;        -4.3608877821;         0.0000000000;    0.005036588758230;    0.017912385985255;    0.000000000000000;    0.050099104642868;    0.131237819790840;   -0.000126147380797;    0.187923714518547
        68;        66.9096093383;        -4.3609182518;         0.0000000000;    0.005054892506450;    0.017963860183954;    0.000000000000000;    0.001111264107749;    0.378449857234955;   -0.000090428751719;    0.437894016504288
        69;        67.0726800233;        -4.3605647371;         0.0000000000;    0.005077879875898;    0.017631350085139;    0.000000000000000;    0.070555493235588;    0.286571055650711;   -0.000179121532710;    0.379070878028870
        70;        67.2356320569;        -4.3605575143;         0.0000000000;    0.005219518672675;    0.017645131796598;    0.000000000000000;   -0.041717119514942;    0.283384621143341;    0.000716109934729;    0.316961765289307
        71;        67.3988785742;        -4.3602470062;         0.0000000000;    0.005066673737019;    0.017355628311634;    0.000000000000000;    0.037510428577662;    0.247794628143311;   -0.001284154830500;    0.343735396862030
        72;        67.5618187260;        -4.3596383949;         0.0000000000;    0.005220194347203;    0.016768021509051;    0.000000000000000;   -0.002418073359877;    0.184247463941574;   -0.000423742545536;    0.216977134346962
        73;        67.7250126362;        -4.3595184783;         0.0000000000;    0.005119956564158;    0.016669109463692;    0.000000000000000;    0.025340532884002;    0.278686165809631;   -0.000088916924142;    0.337658047676086
        74;        67.8879654744;        -4.3594062153;         0.0000000000;    0.005260790698230;    0.016577851027250;    0.000000000000000;    0.031490709632635;    0.310856938362122;    0.000064405576268;    0.378669917583466
        75;        68.0511149563;        -4.3592371286;         0.0000000000;    0.005204981192946;    0.016429768875241;    0.000000000000000;    0.018925609067082;    0.280040681362152;   -0.000341543200193;    0.337240725755692
        76;        68.2141335380;        -4.3590820061;         0.0000000000;    0.005280071869493;    0.016295650973916;    0.000000000000000;    0.067767359316349;    0.313845962285995;   -0.000679494347423;    0.414914190769196
        77;        68.3769871080;        -4.3587192919;         0.0000000000;    0.005520174279809;    0.015953941270709;    0.000000000000000;    0.069809302687645;    0.232694700360298;    0.000286164926365;    0.318675398826599
        78;        68.5400291469;        -4.3586411115;         0.0000000000;    0.005571807734668;    0.015896765515208;    0.000000000000000;    0.051999889314175;    0.319434106349945;   -0.000000616971988;    0.402463436126709
        79;        68.7030615308;        -4.3582059460;         0.0000000000;    0.005633096210659;    0.015482604503632;    0.000000000000000;    0.039782576262951;    0.185236036777496;   -0.000022681630071;    0.240279763936996
        80;        68.8660356479;        -4.3582061020;         0.0000000000;    0.005752651486546;    0.015503765083849;    0.000000000000000;   -0.023022111505270;    0.316874384880066;    0.000933186849579;    0.369430899620056
