# Process data:
# project_name                  :
# specimen                      :
# wmp_number                    :
# gom_project_file              :
# project_creation_time         : 02.09.2022 00:12
# sensor_name                   : ARAMIS Adjustable Base
# camera_type                   : 12MP
# camera_focal_length           : None
# measuring_distance            : 338.0
# camera_angle                  : 0.4383270764406824
# camera_angle_degrees          : 25.114291526359324
####################################################################################################
# Calibration data:
# calibration_date              : Wed Jun 15 09:57:21 2022
# calibration_object            : CQ40/38/10446
# calibration_volume_width      : 85.03408043671142
# calibration_volume_length     : 114.10610307453283
# calibration_volume_depth      : 63.94118700053454
# calibration_deviation         : None
####################################################################################################
# stage data:
# facet_size                    : 40.0
# facet_distance                : 30.0
# exposure_time                 : None
# current_stage_index           : 50
# current_stage_name            : 43_repImage_x30.0_z-6_n437398.5_f14999.0_a32.9
# current_stage_date            : 31.08.2022 10:34
# current_stage_relative_date   : 50.0
# reference_stage_index         : 0
# reference_stage_name          : 43_refImage_x30.0_z-6_a8.1_n0.0_f197.0
# reference_stage_date          : 31.08.2022 10:33
####################################################################################################
# rigid body motion compensation:
# alignment_rotation_x          : -0.0
# alignment_rotation_y          : 0.0
# alignment_rotation_z          : 0.0013755836610034081
# alignment_translation_x       : 0.077670663068794
# alignment_translation_y       : 0.21891400559069396
# alignment_translation_z       : 0.0
# alignment_deviation           : 0.011218119412660599
####################################################################################################
# SIGNALS:
# machine                       : value_element       : MTS-PCQ0010
# project                       : value_element       :
# specimen_type                 : value_element       :
# specimen_number               : value_element       :
# force                         : value_element       : 14998.997688293457
# displacement                  : value_element       : -5.67901372909546
# cycles                        : value_element       : 437398.5
# potential                     : value_element       : 0.03386126831173897
# time                          : value_element       : 1658439054.0
# cracklength                   : value_element       : 32.85028213176373
# material                      : value_element       :
# orientation                   : value_element       :
# dms_1                         : value_element       : None
# dms_2                         : value_element       : None
# x                             : value_element       : 30.0
# y                             : value_element       : -0.44999999999999996
# z                             : value_element       : -6.0
#
####################################################################################################
#        ID;         x_undef [mm];         y_undef [mm];         z_undef [mm];               u [mm];               v [mm];               w [mm];             epsx [%];             epsy [%];            epsxy [%];           epseqv [%]
         1;        26.4149248120;        -3.1638728915;         0.0000000000;    0.005750130396336;    0.037068665027618;    0.000000000000000;    0.048633791506290;    0.432666599750519;   -0.003116501960903;    0.640493512153625
         2;        26.4724436089;        -3.1638728899;         0.0000000000;    0.005792490206659;    0.036830216646194;    0.000000000000000;    0.160331368446350;    0.589106738567352;   -0.003593558678403;    0.892037749290466
         3;        26.5299624059;        -3.1638728914;         0.0000000000;    0.005980144720525;    0.036431498825550;    0.000000000000000;    0.102850839495659;    0.346049845218658;   -0.001225016894750;    0.491449594497681
         4;        26.5874812031;        -3.1638728900;         0.0000000000;    0.006039502099156;    0.036164488643408;    0.000000000000000;   -0.271152615547180;    0.125348776578903;    0.001838142052293;    0.345684111118317
         5;        26.6450000000;        -3.1638728911;         0.0000000000;    0.005739919375628;    0.036007393151522;    0.000000000000000;   -0.089904621243477;    0.232027173042297;   -0.000947185908444;    0.258264213800430
         6;        26.7025187968;        -3.1638728909;         0.0000000000;    0.005850826855749;    0.035677779465914;    0.000000000000000;   -0.080854207277298;    0.114608526229858;    0.000571410288103;    0.135048389434814
         7;        26.7600375939;        -3.1638728906;         0.0000000000;    0.005741295870394;    0.035383839160204;    0.000000000000000;   -0.104054056107998;   -0.038870565593243;    0.000419042597059;    0.155726686120033
         8;        26.8175563911;        -3.1638728914;         0.0000000000;    0.005612143315375;    0.035211097449064;    0.000000000000000;   -0.142768651247025;    0.113084137439728;   -0.000671351794153;    0.169648215174675
         9;        26.8750751879;        -3.1638728890;         0.0000000000;    0.005585488397628;    0.035013489425182;    0.000000000000000;   -0.103049255907536;    0.212495937943459;    0.000003290399491;    0.212525233626366
        10;        26.9325939849;        -3.1638728887;         0.0000000000;    0.005492184776813;    0.034818544983864;    0.000000000000000;   -0.216834783554077;    0.196586236357689;   -0.000054648658988;    0.239977687597275
        11;        26.9901127821;        -3.1638728915;         0.0000000000;    0.005365458317101;    0.034520693123341;    0.000000000000000;   -0.015726527199149;    0.110844887793064;   -0.001504939515144;    0.211165592074394
        12;        27.0476315791;        -3.1638728909;         0.0000000000;    0.005393018946052;    0.034284435212612;    0.000000000000000;   -0.033993571996689;    0.216406300663948;   -0.000727629929315;    0.247441634535789
        13;        27.1051503758;        -3.1638728899;         0.0000000000;    0.005361702758819;    0.034080460667610;    0.000000000000000;   -0.033772993832827;    0.309539586305618;   -0.000751563406084;    0.350527226924896
        14;        27.1626691728;        -3.1638728900;         0.0000000000;    0.005390725564212;    0.033774588257074;    0.000000000000000;   -0.154590293765068;    0.102296680212021;    0.000745452183764;    0.179549366235733
        15;        27.2201879697;        -3.1638728888;         0.0000000000;    0.005201038904488;    0.033578105270863;    0.000000000000000;   -0.161808326840401;    0.127074643969536;   -0.000477836001664;    0.179313302040100
        16;        27.2777067667;        -3.1638728901;         0.0000000000;    0.005179435480386;    0.033337935805321;    0.000000000000000;   -0.129232406616211;    0.115807138383389;    0.000597980688326;    0.158147618174553
        17;        27.3352255640;        -3.1638728886;         0.0000000000;    0.005097183864564;    0.033172387629747;    0.000000000000000;   -0.077587530016899;    0.053847022354603;    0.000823085953016;    0.124027527868748
        18;        27.3927443609;        -3.1638728900;         0.0000000000;    0.005095960572362;    0.032884873449802;    0.000000000000000;   -0.034859102219343;   -0.039756342768669;   -0.000067735461926;    0.075120411813259
